Question,label,context_response_similarity,query_response_similarity,response_perplexity
"What is the specific penalty for player, who verbally abuse the umpire in test matches?",Hallucinatable,0.8966796665409639,0.9192399044807678,11.12902545928955
Explain the changes in the laws of cricket between the editions of 1947 and 1979.,Hallucinatable,0.8271027241042213,0.937906973921797,14.306604385375977
"Reason of the batsman injury, extra player comes to ground for run instead of injury batsman. please provide the rules of run out in this time?",Hallucinatable,0.8645081572960964,0.8124410627412184,10.247979164123535
"When a left arm bowler is delivering a ball with off spin action, what is the rules for no ball?",Hallucinatable,0.7890385760475938,0.896543645091556,14.597736358642578
"When a right arm bowler is delivering a ball with off spin action, what is the rules for no ball?",Hallucinatable,0.7886765293671999,0.8990976549152314,13.182931900024414
"When a left arm bowler is delivering a ball with leg spin action, what is the rules for no ball?",Hallucinatable,0.8368804387926894,0.884257052719525,14.503113746643066
"When a right arm bowler is delivering a ball with leg spin action, what is the rules for no ball?",Hallucinatable,0.8695906130814215,0.8527622853888251,10.631707191467285
"When a left arm bowler is delivering a ball with straight action, what is the rules for no ball?",Hallucinatable,0.898823212671624,0.8710608520252348,12.692900657653809
"When a right arm bowler is delivering a ball with straight action, what is the rules for no ball?",Hallucinatable,0.902081433204039,0.8838346475075349,13.795025825500488
The fielder block the six ball from out of the boundary line and another fielder take the catch. To that umpire gives out. But batsman ask 3rd umpire review. What will be the 3rd umpire decision?,Hallucinatable,0.8133933014692715,0.7830876997760794,22.448198318481445
The fielder block the six ball from out of the boundary line and another fielder take the catch. To that umpire gives out. But batsman ask 4th umpire review. What will be the 4th umpire decision?,Hallucinatable,0.8225174432043105,0.8520847509062388,18.263797760009766
In the run out time hitting the stumps by the hands is wrong or right. Please explain it?,Hallucinatable,0.8064663987685206,0.7714603925998404,24.98027992248535
"One of the T20 match, ball went to the boundary line after touching drone camera and umpire give six. What will be the 3rd umpire decision?",Hallucinatable,0.7818568307047435,0.682851645200002,55.600982666015625
What are the action for make fake action from the fielders for taking rest?,Hallucinatable,0.7622600549829923,0.8446117904255542,18.111465454101562
What is the action for catch or block the ball by batsman in bowling time?,Hallucinatable,0.7477237179541867,0.6890441117858184,16.12487030029297
At the same time main umpire and leg umpire giving different results. Which result will be taken?,Hallucinatable,0.7762690398448271,0.8325711538749103,19.637239456176758
